Customer_ID,Transaction_ID,Transaction_Date,Membership_Tier,Customer_Since,Age,Gender,City,Occupation,Income_Level,Store_Channel,Brand,Product_Category,Product_Name,Quantity,Purchase_Amount,Coupon_Used,Reward_Points_Earned,Reward_Points_Redeemed,Reward_Points_Available,Reward_Points_Expired,Reward_Source,Product_Viewed,Wishlist_Added,Cart_Abandoned,Email_Clicked,Push_Notification_Clicked,App_Opened,Website_Visits,Session_Duration_Min
C0001,T000101,2026-03-01,Platinum,2019-09-16,54,Male,Bengaluru,CA,High,Online,Samsung,TV,Smart TV,2,91506,0,915,679,162,74,Festival,,,,,,,8,11
C0001,T000102,2026-05-08,Platinum,2019-09-16,54,Male,Bengaluru,CA,High,Offline,Apple,Smartphone,iPhone,1,81734,0,817,147,670,0,Referral,,,,,,,18,7
C0001,T000103,2026-02-09,Platinum,2019-09-16,54,Male,Bengaluru,CA,High,Offline,Sony,TV,Bravia,2,63994,1,639,312,109,218,Purchase,,,,,,,15,30
C0001,T000104,2026-03-27,Platinum,2019-09-16,54,Male,Bengaluru,CA,High,Offline,Apple,Watch,Apple Watch,2,175890,1,1758,1084,674,0,Referral,,,,,,,7,28
C0001,T000105,2026-02-20,Platinum,2019-09-16,54,Male,Bengaluru,CA,High,Offline,Apple,Watch,Apple Watch,2,37288,1,372,36,309,27,Purchase,,,,,,,13,31
C0001,T000106,2026-05-02,Platinum,2019-09-16,54,Male,Bengaluru,CA,High,Offline,Apple,Smartphone,iPhone,2,111186,0,1111,554,557,0,Referral,,,,,,,10,16
C0001,T000107,2026-03-28,Platinum,2019-09-16,54,Male,Bengaluru,CA,High,Online,Apple,Smartphone,iPhone,2,30105,0,301,166,135,0,Festival,,,,,,,2,31
C0002,T000201,2026-02-13,Gold,2021-02-08,35,Male,Hyderabad,Doctor,Medium,Online,Sony,TV,Bravia,2,81873,0,818,57,150,611,Referral,,,,,,,9,13
C0002,T000202,2026-04-21,Gold,2021-02-08,35,Male,Hyderabad,Doctor,Medium,App,Bose,Audio,QC Headphones,2,41282,0,412,225,187,0,Referral,,,,,,,19,13
C0002,T000203,2026-01-10,Gold,2021-02-08,35,Male,Hyderabad,Doctor,Medium,Offline,Sony,Gaming,PlayStation,1,141582,1,1415,834,564,17,Referral,,,,,,,20,7
C0002,T000204,2026-03-30,Gold,2021-02-08,35,Male,Hyderabad,Doctor,Medium,App,Sony,Gaming,PlayStation,1,8320,0,83,56,27,0,Purchase,,,,,,,11,33
C0002,T000205,2026-07-01,Gold,2021-02-08,35,Male,Hyderabad,Doctor,Medium,Offline,Sony,Audio,WH Headphones,2,143147,0,1431,18,1413,0,Birthday,,,,,,,19,14
C0002,T000206,2026-06-13,Gold,2021-02-08,35,Male,Hyderabad,Doctor,Medium,App,Sony,Gaming,PlayStation,1,175852,1,1758,23,1735,0,Festival,,,,,,,3,14
C0002,T000207,2026-01-04,Gold,2021-02-08,35,Male,Hyderabad,Doctor,Medium,App,Sony,Audio,WH Headphones,1,83100,0,831,16,483,332,Festival,,,,,,,3,16
C0002,T000208,2026-04-13,Gold,2021-02-08,35,Male,Hyderabad,Doctor,Medium,Online,Bose,Speaker,SoundLink,1,134654,0,1346,115,1231,0,Birthday,,,,,,,8,8
C0002,T000209,2026-07-02,Gold,2021-02-08,35,Male,Hyderabad,Doctor,Medium,Online,Samsung,Audio,Galaxy Buds,1,124551,1,1245,662,583,0,Festival,,,,,,,13,24
C0002,T000210,2026-01-25,Gold,2021-02-08,35,Male,Hyderabad,Doctor,Medium,Offline,Sony,TV,Bravia,2,27647,1,276,84,10,182,Birthday,,,,,,,15,19
C0003,T000301,2026-04-04,Bronze,2024-09-02,32,Male,Bengaluru,Business,Low,App,Apple,Smartphone,iPhone,1,146915,1,1469,106,1363,0,Festival,,,,,,,18,27
C0003,T000302,2026-04-25,Bronze,2024-09-02,32,Male,Bengaluru,Business,Low,App,Apple,Smartphone,iPhone,2,141583,0,1415,825,590,0,Birthday,,,,,,,16,29
C0003,T000303,2026-02-25,Bronze,2024-09-02,32,Male,Bengaluru,Business,Low,Offline,Apple,Audio,AirPods,1,115461,0,1154,848,85,221,Festival,,,,,,,4,10
C0003,T000304,2026-03-08,Bronze,2024-09-02,32,Male,Bengaluru,Business,Low,App,Apple,Smartphone,iPhone,2,174247,0,1742,51,1691,0,Birthday,,,,,,,3,25
C0003,T000305,2026-04-18,Bronze,2024-09-02,32,Male,Bengaluru,Business,Low,App,Google Nest,Smart Home,Nest Hub,2,142879,0,1428,455,973,0,Referral,,,,,,,5,13
C0003,T000306,2026-06-08,Bronze,2024-09-02,32,Male,Bengaluru,Business,Low,Offline,Sony,Gaming,PlayStation,1,172502,0,1725,972,753,0,Birthday,,,,,,,8,29
C0004,T000401,2026-04-09,Gold,2025-06-19,37,Male,Bengaluru,Doctor,High,Offline,Bose,Speaker,SoundLink,1,75037,1,750,115,635,0,Birthday,,,,,,,4,30
C0004,T000402,2026-04-17,Gold,2025-06-19,37,Male,Bengaluru,Doctor,High,Online,Bose,Speaker,SoundLink,2,33877,0,338,123,215,0,Purchase,,,,,,,11,16
C0004,T000403,2026-05-28,Gold,2025-06-19,37,Male,Bengaluru,Doctor,High,Offline,Bose,Audio,QC Headphones,2,133040,1,1330,853,477,0,Purchase,,,,,,,18,15
C0004,T000404,2026-06-07,Gold,2025-06-19,37,Male,Bengaluru,Doctor,High,App,Bose,Speaker,SoundLink,2,33507,1,335,205,130,0,Festival,,,,,,,8,27
